Voti Fantacalcio 35 giornata di campionato,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,,,,
ATALANTA,,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass,Asf,Gdv,Gdp
4425,P,JORONEN,6.5,0,3,0,0,0,0,0,0,0,0,0,0
1896,D,MARTELLA,6,0,0,0,0,0,0,0,0,0,0,0,0
4373,D,MATEJU,6*,0,0,0,0,0,0,0,0,0,0,0,0
4920,D,PAPETTI,4,0,0,0,0,0,0,0,0,0,0,0,0
791,D,SABELLI,6,0,0,0,0,0,0,1,0,0,0,0,0
4444,D,SEMPRINI,5.5,0,0,0,0,0,0,0,0,0,0,0,0
4429,D,CHANCELLOR,5.5,0,0,0,0,0,0,0,0,0,0,0,0
47,D,GASTALDELLO,6,0,0,0,0,0,0,0,0,0,0,0,0
4504,D,MANGRAVITI,5.5,0,0,0,0,0,0,0,0,0,0,0,0
4880,C,BJARNASON,5.5,0,0,0,0,0,0,0,0,0,0,0,0
1872,C,DESSENA,6,1,0,0,0,0,0,0,0,0,0,0,0
4449,C,TONALI,5.5,0,0,0,0,0,0,0,0,0,0,0,0
4513,C,ZMRHAL,5.5,0,0,0,0,0,0,0,0,0,0,0,0
4453,A,TORREGROSSA,6,0,0,0,0,0,0,0,0,0,0,0,0
4413,A,AYE',6,0,0,0,0,0,0,0,0,0,0,0,0
4452,A,DONNARUMMA AL.,5.5,0,0,0,0,0,0,0,0,0,0,0,0
2125,ALL,LOPEZ D.,5,0,0,0,0,0,0,0,0,0,0,0,0
CAGLIARI,,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass,Asf,Gdv,Gdp
2178,P,CRAGNO,7.5,0,2,0,0,0,0,0,0,0,0,0,0
2871,D,KLAVAN,5.5,0,0,0,0,0,0,1,0,0,0,0,0
2653,D,LYKOGIANNIS,6,0,0,0,0,0,0,0,0,0,0,0,0
106,D,MATTIELLO,6,0,0,0,0,0,0,0,0,0,0,0,0
1869,D,PISACANE,6*,0,0,0,0,0,0,0,0,0,0,0,0
4374,D,WALUKIEWICZ,5,0,0,0,0,0,0,0,0,0,0,0,0
2116,C,FARAGO',5,0,0,0,0,0,0,0,0,0,0,0,0
627,C,IONITA,6,0,0,0,0,0,0,0,0,1,0,0,0
2076,C,ROG,5.5,0,0,0,0,0,0,0,0,0,0,0,0
4514,C,NANDEZ,6,0,0,0,0,0,0,0,0,0,0,0,0
111,C,BIRSA,5.5,0,0,0,0,0,0,0,0,0,0,0,0
4940,A,GAGLIANO,6*,0,0,0,0,0,0,0,0,0,0,0,0
1874,A,JOAO PEDRO,5.5,0,0,0,0,0,0,0,0,0,0,0,0
4455,A,RAGATZU,6,0,0,0,0,0,0,0,0,0,0,0,0
2061,A,SIMEONE,6.5,1,0,0,0,0,0,0,0,0,0,0,0
690,ALL,ZENGA,5.5,0,0,0,0,0,0,0,0,0,0,0,0
FIORENTINA,,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass,Asf,Gdv,Gdp
2815,P,TERRACCIANO,7.5,0,0,0,0,0,0,0,0,0,0,0,0
2289,D,DALBERT,6,0,0,0,0,0,0,0,0,0,0,0,0
2309,D,PEZZELLA GER.,6.5,0,0,0,0,0,0,0,0,0,0,0,0
2006,D,LIROLA,5.5,0,0,0,0,0,0,0,0,0,0,0,0
2174,D,VENUTI,5.5,0,0,0,0,0,0,0,0,0,0,0,0
287,D,CACERES,6,0,0,0,0,0,0,1,0,0,0,0,0
2164,D,MILENKOVIC,6.5,0,0,0,0,0,0,0,0,0,0,0,0
2409,C,RIBERY,5.5,0,0,0,0,0,0,1,0,0,0,0,0
4377,C,CASTROVILLI,5.5,0,0,0,0,0,0,1,0,0,0,0,0
170,C,BADELJ,5.5,0,0,0,0,0,0,0,0,0,0,0,0
644,C,PULGAR,6,0,0,0,0,0,0,0,0,0,0,0,0
2002,C,CHIESA,6,0,0,0,0,0,0,0,0,0,0,0,0
4228,C,GHEZZAL,6,0,0,0,0,0,0,0,0,0,0,0,0
526,C,DUNCAN,6,0,0,0,0,0,0,0,0,0,0,0,0
2155,A,CUTRONE,5.5,0,0,0,0,0,0,0,0,0,0,0,0
2762,A,KOUAME',5.5,0,0,0,0,0,0,0,0,0,0,0,0
