,Id,Ruolo,Nome,Squadra,Partite giocate,Media voto,Media Fantavoto,Goal fatti,Goal subiti,Rigori parati,Rigori calciati,Rigori segnati,Rigori sbagliati,Assist,Assist da fermo,Ammoniti,Espulsioni,Autogoal
519,2873,A,TEODORCZYK,Udinese,14,5.7,5.6,0,0,0,0,0,0,0,0,1,0,0
530,4324,A,OKAKA,Udinese,33,6.03,6.67,8,0,0,0,0,0,2,0,10,0,0
536,4333,A,DESPODOV,Cagliari,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
538,4346,A,MILLICO,Torino,11,5.67,5.67,0,0,0,0,0,0,0,0,0,0,0
542,4359,A,PICCOLI,Atalanta,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
547,4368,A,JUWARA,Bologna,7,6.5,7.33,1,0,0,0,0,0,0,0,1,0,0
549,4371,A,RASPADORI,Sassuolo,11,6.21,7.07,2,0,0,0,0,0,0,0,0,0,0
556,4379,A,GORI G,Fiorentina,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
558,4381,A,GUMUS,Genoa,3,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0
563,4387,A,ADORANTE,Parma,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
564,4388,A,ADEKANYE,Lazio,11,6.12,6.75,1,0,0,0,0,0,0,0,1,0,0
584,4413,A,AYE',Brescia,22,5.5,5.4,0,0,0,0,0,0,0,0,2,1,0
586,4415,A,SKOV OLSEN,Bologna,26,5.62,5.76,1,0,0,0,0,0,0,0,2,0,0
598,4430,A,CRISTO GONZALEZ,Udinese,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
602,4436,A,CAMBIAGHI,Atalanta,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
615,4452,A,DONNARUMMA AL.,Brescia,31,5.79,6.59,5,0,0,2,2,0,2,0,1,0,0
616,4453,A,TORREGROSSA,Brescia,25,6.28,7.04,5,0,0,2,2,0,2,0,8,0,0
618,4455,A,RAGATZU,Cagliari,13,6.0,6.38,1,0,0,0,0,0,0,0,1,0,0
625,4463,A,ESPOSITO,Inter,7,5.83,6.67,0,0,0,1,1,0,0,0,1,0,0
626,4464,A,MEROLA,Inter,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
628,4466,A,PETRELLI,Juventus,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
639,4477,A,LA MANTIA,Lecce,12,5.89,6.5,2,0,0,0,0,0,0,0,1,0,0
643,4483,A,CANGIANO,Bologna,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
644,4484,A,D'ORAZIO,Roma,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
649,4489,A,RAUTI,Torino,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
