,Id,Ruolo,Nome,Squadra,Partite giocate,Media voto,Media Fantavoto,Goal fatti,Goal subiti,Rigori parati,Rigori calciati,Rigori segnati,Rigori sbagliati,Assist,Assist da fermo,Ammoniti,Espulsioni,Autogoal
355,2194,C,CALHANOGLU,Milan,35,6.3,7.24,8,0,0,1,1,0,8,1,6,0,0
358,2200,C,DOUGLAS COSTA,Juventus,23,6.25,6.61,1,0,0,0,0,0,4,0,1,0,0
359,2201,C,UNDER,Roma,18,6.13,6.7,3,0,0,0,0,0,0,0,2,0,0
360,2205,C,BERENGUER,Torino,29,6.07,6.74,6,0,0,0,0,0,1,1,4,0,0
362,2209,C,LUCAS LEIVA,Lazio,25,6.04,5.88,0,0,0,0,0,0,1,0,8,1,0
363,2210,C,FALLETTI,Bologna,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
366,2213,C,CASSATA,Genoa,24,5.66,5.66,2,0,0,0,0,0,0,0,9,2,0
368,2215,C,VERETOUT,Roma,33,6.28,6.75,1,0,0,5,5,0,0,0,6,0,0
370,2243,C,CICIRETTI,Napoli,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
374,2263,C,LAZZARI,Lazio,32,6.19,6.16,0,0,0,0,0,0,2,0,6,0,0
377,2274,C,VALOTI,SPAL,27,5.94,6.2,3,0,0,0,0,0,1,0,7,0,0
383,2287,C,RAMIREZ,Sampdoria,26,6.0,6.85,4,0,0,3,3,0,2,0,5,0,0
386,2290,C,EYSSERIC,Verona,8,5.75,5.58,0,0,0,0,0,0,0,0,2,0,0
387,2291,C,RODRIGUEZ T,Genoa,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
391,2302,C,BEHRAMI,Genoa,17,5.74,5.62,0,0,0,0,0,0,0,0,2,1,0
393,2306,C,MATUIDI,Juventus,35,5.89,5.89,0,0,0,0,0,0,1,0,2,0,0
397,2314,C,BRLEK,Genoa,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
404,2332,C,BRUNO JORDAO,Lazio,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
406,2334,C,LERIS,Sampdoria,15,5.85,6.08,1,0,0,0,0,0,0,0,0,0,0
409,2378,C,PASTORE,Roma,11,6.06,6.06,0,0,0,0,0,0,0,0,0,0,0
410,2379,C,RABIOT,Juventus,28,5.91,5.93,1,0,0,0,0,0,1,0,5,1,0
411,2389,C,IMBULA,Lecce,3,5.67,5.67,0,0,0,0,0,0,0,0,0,0,0
412,2391,C,EKDAL,Sampdoria,32,5.88,5.82,0,0,0,0,0,0,2,0,8,0,0
413,2392,C,WALACE,Udinese,20,5.88,5.82,0,0,0,0,0,0,0,0,2,0,0
414,2409,C,RIBERY,Fiorentina,21,6.5,6.95,3,0,0,0,0,0,3,0,3,1,0
417,2472,C,RAMSEY,Juventus,24,6.02,6.41,3,0,0,0,0,0,0,0,2,0,0
419,2488,C,MOSES,Inter,12,6.15,6.4,0,0,0,0,0,0,3,0,1,0,0
420,2504,C,CAN ,Juventus,8,5.57,5.43,0,0,0,0,0,0,0,0,2,0,0
422,2529,C,MKHITARYAN,Roma,22,6.25,7.59,9,0,0,0,0,0,5,0,5,0,0
425,2556,C,ERIKSEN,Inter,17,5.92,6.31,1,0,0,0,0,0,2,0,0,0,0
428,2617,C,NZONZI,Roma,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
429,2625,C,SORIANO,Bologna,29,6.09,6.62,5,0,0,0,0,0,4,0,3,2,0
431,2642,C,CALVANO,Verona,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
432,2646,C,SANDRO,Genoa,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
433,2648,C,MACHACH,Napoli,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
436,2659,C,DABO,SPAL,16,5.62,5.88,1,0,0,0,0,0,3,0,4,0,0
438,2692,C,CASTILLEJO,Milan,22,6.21,6.61,2,0,0,0,0,0,2,1,3,0,0
442,2726,C,DANZI,Verona,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
447,2741,C,PESSINA,Verona,35,6.04,6.56,7,0,0,0,0,0,0,0,7,0,0
